iter	RMSE
0	4.524662211
1	4.487517973
2	4.447281849
3	4.404767203
4	4.378419426
5	4.349008905
6	4.313884747
7	4.282525098
8	4.266227457
9	4.240341446
10	4.21895016
11	4.193801346
12	4.167206897
13	4.151633059
14	4.137739553
15	4.118846475
16	4.103157779
17	4.090911356
18	4.074899998
19	4.057751212
20	4.039746785
21	4.020887198
22	3.999023649
23	3.98140883
24	3.95752672
25	3.942800757
26	3.936148892
27	3.928862695
28	3.91323808
29	3.896626395
30	3.877099148
31	3.863418731
32	3.848182397
33	3.845610744
34	3.83703368
35	3.82537369
36	3.815112195
37	3.799272815
38	3.7759334
39	3.76109078
40	3.752310015
41	3.73735885
42	3.727073026
43	3.721687498
44	3.708257679
45	3.697336814
46	3.690468176
47	3.679024077
48	3.668404116
49	3.661928695
50	3.656542322
51	3.649157381
52	3.640544401
53	3.632204651
54	3.621611507
55	3.616058276
56	3.61019346
57	3.603858194
58	3.590365565
59	3.583543269
60	3.571222104
61	3.559510297
62	3.547445287
63	3.541089908
64	3.536217069
65	3.522680282
66	3.512539982
67	3.511161449
68	3.502429409
69	3.493682511
70	3.484835918
71	3.48222733
72	3.474505452
73	3.467102683
74	3.464951177
75	3.46470569
76	3.447247612
77	3.440907404
78	3.4390752
79	3.433580371
80	3.425917147
81	3.418478691
82	3.412905523
83	3.401942237
84	3.394710589
85	3.386946034
86	3.381816789
87	3.370595925
88	3.35691339
89	3.349211363
90	3.339408548
91	3.332812536
92	3.327317178
93	3.319434129
94	3.316102637
95	3.30561171
96	3.304659936
97	3.29430359
98	3.294250359
99	3.284109461
100	3.26540448
101	3.256601341
102	3.255942961
103	3.246484579
104	3.245577921
105	3.239169088
106	3.23810541
107	3.236032206
108	3.226537418
109	3.211647812
110	3.201564541
111	3.190024339
112	3.176641813
113	3.162073223
114	3.154280916
115	3.142217123
116	3.127874205
117	3.114344617
118	3.103314464
119	3.090002672
120	3.075207912
121	3.056445439
122	3.042724736
123	3.025823516
124	3.013571552
125	3.002018017
126	3.000555381
127	2.979226401
128	2.969291045
129	2.954433494
130	2.940938581
131	2.924880179
132	2.911113969
133	2.89354005
134	2.883322424
135	2.875378221
136	2.859958856
137	2.843103867
138	2.829589278
139	2.814321745
140	2.801864471
141	2.788947266
142	2.770258289
143	2.755121702
144	2.739410607
145	2.73118912
146	2.719777981
147	2.704485418
148	2.693379514
149	2.681048832
150	2.665086984
151	2.653462398
152	2.640674658
153	2.628170541
154	2.616730459
155	2.607793542
156	2.597404336
157	2.587778713
158	2.577656444
159	2.570433954
160	2.559834707
161	2.55287781
162	2.539360031
163	2.524884175
164	2.510812653
165	2.50380603
166	2.494383769
167	2.485868604
168	2.480055132
169	2.469717603
170	2.463496932
171	2.449516642
172	2.438188067
173	2.432363545
174	2.425255103
175	2.413711835
176	2.406653165
177	2.400551959
178	2.388600595
179	2.382573733
180	2.374195306
181	2.367060864
182	2.354162931
183	2.346201831
184	2.335839017
185	2.332628534
186	2.321646778
187	2.313604646
188	2.302012688
189	2.28658406
190	2.280145884
191	2.268801473
192	2.260082958
193	2.246175019
194	2.239475598
195	2.234642983
196	2.221741645
197	2.218906974
198	2.214485008
199	2.205642904
200	2.198557818
201	2.189570857
202	2.179747496
203	2.169181926
204	2.160843283
205	2.151821209
206	2.139393171
207	2.134570287
208	2.124427571
209	2.12192663
210	2.114008178
211	2.104408459
212	2.093680472
213	2.081934903
214	2.081532392
215	2.072974364
216	2.065991887
217	2.056913923
218	2.049060933
219	2.041386253
220	2.041164984
221	2.040855556
222	2.030895706
223	2.018926327
224	2.010832034
225	1.999929229
226	1.999378729
227	1.988787824
228	1.980224365
229	1.97746966
230	1.971738795
231	1.964942458
232	1.958059853
233	1.949189637
234	1.945775346
235	1.937077985
236	1.93425628
237	1.93349243
238	1.929567031
239	1.920084723
240	1.910309864
241	1.904697578
242	1.904250629
243	1.901100264
244	1.892001637
245	1.885272179
246	1.880534214
247	1.872748737
248	1.867199847
249	1.858782665
250	1.850856294
251	1.842921103
252	1.840424325
253	1.83529748
254	1.824795326
255	1.818629173
256	1.809961276
257	1.80707658
258	1.796992587
259	1.788529123
260	1.780154036
261	1.770530676
262	1.767641952
263	1.76462556
264	1.759917777
265	1.752644285
266	1.749052409
267	1.74868592
268	1.739491618
269	1.734411218
270	1.728484957
271	1.717191246
272	1.71255766
273	1.704483269
274	1.696343389
275	1.687909652
276	1.683535147
277	1.677346037
278	1.666559583
279	1.66625215
280	1.658910674
281	1.656150586
282	1.653727097
283	1.644846161
284	1.640452204
285	1.636167064
286	1.63354737
287	1.628213149
288	1.627326045
289	1.621925231
290	1.618156924
291	1.610004845
292	1.609747733
293	1.602720123
294	1.596823647
295	1.58870841
296	1.578931818
297	1.568443224
298	1.564605404
299	1.558468722
300	1.552687756
301	1.544432314
302	1.536625839
303	1.530419258
304	1.520092341
305	1.513162315
306	1.503070878
307	1.500577062
308	1.499478418
309	1.496655358
310	1.488803166
311	1.48432218
312	1.483862005
313	1.476555085
314	1.472116267
315	1.467182494
316	1.459777568
317	1.456279539
318	1.452647988
319	1.443670296
320	1.433490408
321	1.431272924
322	1.426241347
323	1.418676157
324	1.415127311
325	1.4092051
326	1.409021564
327	1.403426035
328	1.399591209
329	1.395353018
330	1.389527828
331	1.384002774
332	1.379023115
333	1.375984997
334	1.375811488
335	1.371914376
336	1.371727148
337	1.365887092
338	1.359523122
339	1.354302223
340	1.349243141
341	1.344546848
342	1.340667479
343	1.333100039
344	1.332885715
345	1.325541549
346	1.318828608
347	1.316903206
348	1.310739734
349	1.308037619
350	1.304803688
351	1.300599669
352	1.293256907
353	1.286375902
354	1.283169113
355	1.279268759
356	1.277195938
357	1.272864131
358	1.272653455
359	1.272451127
360	1.27135989
361	1.270903629
362	1.268965854
363	1.267714932
364	1.261152531
365	1.25926402
366	1.255944414
367	1.249034588
368	1.242186786
369	1.237124823
370	1.23037441
371	1.224992342
372	1.221576353
373	1.213753206
374	1.212070817
375	1.209572868
376	1.204301991
377	1.199854149
378	1.193783727
379	1.188647777
380	1.184148878
381	1.181033105
382	1.17677653
383	1.169820902
384	1.164392566
385	1.159984473
386	1.158238058
387	1.153551166
388	1.15103885
389	1.147026586
390	1.141266389
391	1.135340553
392	1.130651868
393	1.12843095
394	1.125579511
395	1.118632838
396	1.111825613
397	1.106105181
398	1.101997569
399	1.099251299
400	1.096780906
401	1.094309971
402	1.08876261
403	1.084887482
404	1.079713148
405	1.0746207
406	1.071442824
407	1.069157487
408	1.06525898
409	1.061180298
410	1.058279281
411	1.054737684
412	1.049649483
413	1.049430257
414	1.044659248
415	1.04130886
416	1.0378069
417	1.036561454
418	1.032919489
419	1.028183578
420	1.023492528
421	1.019606388
422	1.01550931
423	1.011095939
424	1.009857001
425	1.005718491
426	1.002261281
427	0.9972047806
428	0.9951475642
429	0.9909005046
430	0.9865973782
431	0.9839371305
432	0.983798513
433	0.9792812166
434	0.9741981985
435	0.9702568578
436	0.9657728139
437	0.9646234696
438	0.9592083339
439	0.9545192787
440	0.9527259672
441	0.9471803007
442	0.9455433475
443	0.9426372149
444	0.9392746846
445	0.9346481088
446	0.9301355059
447	0.9263909395
