iter	Passed	Remaining
0	2	2733
1	4	2318
2	6	2336
3	8	2364
4	10	2294
5	11	2238
6	13	2157
7	14	2115
8	16	2144
9	19	2180
10	21	2248
11	23	2239
12	25	2207
13	26	2178
14	28	2146
15	29	2120
16	32	2157
17	33	2084
18	34	2062
19	36	2044
20	36	1982
21	38	1979
22	40	1984
23	42	1974
24	43	1964
25	45	1956
26	46	1916
27	48	1929
28	49	1931
29	51	1929
30	53	1939
31	55	1931
32	56	1924
33	57	1890
34	59	1882
35	60	1878
36	62	1888
37	64	1888
38	66	1888
39	68	1893
40	69	1874
41	70	1872
42	72	1867
43	73	1840
44	74	1837
45	76	1840
46	78	1841
47	79	1837
48	81	1834
49	83	1829
50	84	1823
51	86	1819
52	87	1815
53	89	1813
54	90	1810
55	92	1817
56	94	1814
57	95	1791
58	96	1787
59	98	1785
60	99	1782
61	101	1779
62	102	1777
63	104	1771
64	105	1757
65	106	1754
66	108	1759
67	109	1737
68	110	1735
69	112	1732
70	113	1727
71	114	1718
72	116	1715
73	117	1713
74	118	1699
75	118	1680
76	120	1678
77	121	1665
78	121	1654
79	123	1650
80	124	1651
81	126	1649
82	128	1648
83	129	1647
84	131	1645
85	132	1644
86	134	1643
87	135	1642
88	138	1647
89	139	1647
90	141	1646
91	142	1644
92	144	1641
93	145	1640
94	146	1630
95	148	1628
96	148	1615
97	150	1613
98	150	1599
99	151	1594
100	154	1603
101	156	1609
102	157	1599
103	159	1605
104	159	1593
105	161	1591
106	161	1580
107	162	1569
108	164	1568
109	165	1567
110	167	1566
111	169	1569
112	170	1568
113	172	1571
114	174	1574
115	177	1581
116	179	1587
117	182	1594
118	184	1603
119	186	1605
120	189	1610
121	191	1613
122	193	1617
123	195	1618
124	197	1617
125	199	1619
126	199	1610
127	201	1612
128	204	1619
129	206	1619
130	207	1617
131	209	1616
132	210	1613
133	212	1612
134	214	1612
135	216	1613
136	217	1611
137	219	1609
138	220	1607
139	222	1606
140	224	1606
141	225	1605
142	227	1603
143	229	1603
144	231	1603
145	232	1603
146	234	1603
147	236	1604
148	238	1602
149	239	1601
150	241	1598
151	242	1597
152	244	1597
153	246	1597
154	248	1595
155	249	1593
156	251	1592
157	253	1590
158	254	1588
159	256	1586
160	257	1584
161	259	1583
162	261	1584
163	262	1582
164	264	1581
165	266	1579
166	267	1577
167	269	1575
168	270	1574
169	272	1571
170	274	1570
171	276	1572
172	278	1572
173	280	1572
174	281	1570
175	283	1567
176	284	1566
177	286	1564
178	287	1562
179	289	1560
180	291	1560
181	292	1559
182	294	1557
183	296	1555
184	297	1554
185	299	1552
186	300	1549
187	302	1547
188	303	1545
189	305	1543
190	307	1543
191	308	1542
192	310	1542
193	312	1542
194	314	1541
