idSecuencia;bolOpen;bolHoliday
20250205;1;0
20250206;1;0
20231223;1;0
20231224;1;1
20240902;1;0
20240903;1;0
20241103;0;1
20241104;1;0
20231225;0;1
20231226;0;1
20240907;1;0
20240915;0;1
20241126;1;0
20241127;1;0
20240917;1;0
20241128;1;0
20240505;0;1
20240506;1;0
20240919;1;0
20241129;1;0
20231215;1;0
20231216;1;0
20240330;1;0
20240331;0;1
20240819;1;0
20240820;1;0
20230123;1;0
20230124;1;0
20230125;1;0
20230126;1;0
20230127;1;0
20230128;1;0
20250124;1;0
20250125;1;0
20240821;1;0
20240822;1;0
20240918;1;0
20240922;0;1
20241203;1;0
20240514;1;0
20241204;1;0
20240924;1;0
20240925;1;0
20241205;1;0
20241223;1;0
20240530;1;0
20241220;1;0
20241224;1;0
20241225;1;0
20240531;0;1
20241226;1;0
20230622;1;0
20231206;1;1
20240312;1;0
20230623;1;0
20240313;1;0
20241015;1;0
20240807;1;0
20240808;1;0
20240809;1;0
20240810;1;0
20250104;1;0
20250105;1;0
20240811;0;1
20230919;1;0
20240719;1;0
20230525;1;0
20230526;1;0
20240720;1;0
20240217;1;0
20231113;1;0
20231114;1;0
20230527;1;0
20231115;1;0
20240721;0;1
20240414;0;1
20240218;0;1
20240219;1;0
20240415;1;0
20221130;1;0
20240119;1;0
20240120;1;0
20221125;1;0
20231021;1;0
20231022;0;1
20230504;1;0
20240121;0;1
20240122;1;0
20231023;1;0
20240123;1;0
20221126;1;0
20240114;0;1
20240115;1;0
20230503;1;0
20241105;1;0
20240427;1;0
20231229;1;0
20240910;1;0
20240428;0;1
20241106;1;0
20250212;1;0
20231231;1;1
20240507;1;0
20230608;1;0
20240228;1;0
20231007;1;0
20240729;1;0
20240823;1;0
20240824;1;0
20250114;1;0
20241012;1;1
20230616;1;0
20240307;1;0
20240308;1;0
20231202;1;0
20241013;0;1
20230617;1;0
20230618;0;1
20231203;0;1
20230619;1;0
20230606;1;0
20231003;1;0
20240727;1;0
20230607;1;0
20231004;1;0
20241206;1;0
20241207;1;0
20241208;1;0
20241209;1;0
20240601;1;0
20241227;1;0
20250101;1;0
20241228;1;0
20241229;1;0
20240812;1;0
20230101;0;1
20230102;1;0
20230103;1;0
20230104;1;0
20230105;1;0
20230106;0;1
20230107;1;0
20230108;1;1
20231207;1;0
20231208;1;1
20240314;1;0
20240315;1;0
20250106;1;0
20250107;1;0
20241016;1;0
20240221;1;0
20230923;1;0
20240724;1;0
20231119;0;1
20230924;0;1
20230921;1;0
20230922;1;0
20240723;1;0
20231118;1;0
20230529;1;0
20240722;1;0
20230920;1;0
20240220;1;0
20240717;1;0
20240718;1;0
20230915;1;0
20230908;0;1
20231101;0;1
20231027;1;0
20231028;1;0
20231029;0;1
20240201;1;0
20240202;1;0
20230905;1;0
20240203;1;0
20231013;1;0
20221117;1;0
20231012;1;1
20221228;1;0
20230411;1;0
20221229;1;0
20230412;1;0
20231010;1;0
20231011;1;0
20221230;1;0
20230413;1;0
20221231;1;0
20230414;1;0
20230415;1;0
20221116;1;0
20230725;1;0
20221216;1;0
