producto;diasEntrePedidos;diasLeadtime
1;14;15
2;14;15
3;14;15
4;14;15
5;14;15
6;14;15
7;14;15
8;14;15
9;14;15
10;14;15
11;14;15
12;14;15
13;14;15
14;14;15
15;14;15
16;14;15
17;14;15
18;14;15
19;14;15
20;14;15
21;14;15
22;14;15
23;14;15
24;14;15
25;14;15
26;14;15
27;14;15
28;14;15
29;14;15
30;14;15
31;14;15
32;14;15
33;14;15
34;14;15
35;14;15
36;14;15
37;14;15
38;14;15
39;14;15
40;14;15
41;14;15
42;14;15
43;14;15
44;14;15
45;14;15
46;14;15
47;14;15
48;14;15
49;14;15
50;14;15
51;14;15
52;14;15
53;14;15
54;14;15
55;14;15
56;14;15
57;14;15
58;14;15
59;14;15
60;14;15
61;14;15
62;14;15
63;14;15
64;14;15
65;14;15
66;14;15
67;14;15
68;14;15
69;14;15
70;14;15
71;14;15
72;14;15
73;14;15
74;14;15
75;14;15
76;14;15
77;14;15
78;14;15
79;14;15
80;14;15
81;14;15
82;14;15
83;14;15
84;14;15
85;14;15
86;14;15
87;14;15
88;14;15
89;14;15
90;14;15
91;14;15
92;14;15
93;14;15
94;14;15
95;14;15
96;14;15
97;14;15
98;14;15
99;14;15
100;14;15
101;14;15
102;14;15
103;14;15
104;14;15
105;14;15
106;14;15
107;14;15
108;14;15
109;14;15
110;14;15
111;14;15
112;14;15
113;14;15
114;14;15
115;14;15
116;14;15
117;14;15
118;14;15
119;14;15
120;14;15
121;14;15
122;14;2
123;14;2
124;7;2
125;14;2
126;14;2
127;14;2
128;14;4
129;14;2
130;7;2
131;14;4
132;14;2
133;14;2
134;14;2
135;14;4
136;10;4
137;16;4
138;17;4
139;10;4
140;14;2
141;14;4
142;14;2
143;14;15
144;14;15
145;14;15
146;14;15
147;14;15
148;14;15
149;14;15
150;14;15
151;14;15
152;14;15
153;14;15
154;14;15
155;14;15
156;14;15
157;14;15
158;14;15
159;14;15
160;14;15
161;14;15
162;14;15
163;14;15
164;14;15
165;14;15
166;14;15
167;14;15
168;14;15
169;14;15
170;14;15
171;14;15
172;14;15
173;14;15
174;14;15
175;14;15
176;14;15
177;14;15
178;14;15
179;14;15
180;14;15
181;14;15
182;14;15
183;14;15
184;14;15
185;14;15
186;14;15
187;14;15
188;14;15
189;14;15
190;14;15
191;14;15
192;14;15
193;14;15
194;14;15
195;14;15
196;14;15
197;14;15
198;14;15
199;14;15
200;14;15
201;14;15
202;14;15
203;14;15
204;14;15
205;14;15
206;14;15
207;14;15
208;14;15
209;14;15
210;14;15
211;14;15
212;14;15
213;14;15
214;14;15
215;14;15
216;14;15
217;14;15
218;14;15
219;14;15
220;14;15
221;14;15
222;14;2
223;14;4
224;14;4
225;14;2
226;14;2
227;14;2
228;14;2
229;14;2
230;14;4
231;14;2
232;14;2
233;14;2
234;14;2
235;16;4
236;7;2
237;14;2
238;14;2
239;14;2
240;14;2
241;16;4
242;14;2
243;14;2
244;14;2
245;16;4
246;14;4
247;14;2
248;28;22
249;16;4
250;14;4
251;14;4
252;14;2
253;14;2
254;14;4
255;7;2
256;14;4
257;14;2
258;17;4
259;14;4
260;7;2
261;14;2
262;14;2
263;14;2
264;14;2
265;9;4
266;14;2
267;10;4
268;14;2
269;17;4
270;7;2
271;14;4
272;14;2
273;16;4
274;14;4
275;14;4
276;7;2
277;14;4
278;14;2
279;14;2
280;14;4
281;14;2
282;10;4
283;14;2
284;14;2
285;9;4
286;14;2
287;14;2
288;7;2
289;14;2
290;14;2
291;14;2
292;14;4
293;14;2
294;7;2
295;14;4
296;14;2
297;14;2
298;14;2
299;14;4
300;10;4
301;16;4
302;17;4
303;10;4
304;14;2
305;14;4
306;14;2
307;14;2
308;14;4
309;14;4
310;16;4
311;14;2
312;28;22
313;7;2
314;14;2
315;17;4
316;7;2
317;14;4
318;16;4
319;14;4
320;7;2
321;14;4
322;14;2
323;10;4
324;14;2
325;14;2
326;16;4
327;14;2
328;14;2
329;14;4
330;14;2
331;16;4
332;7;2
333;14;2
334;14;2
335;14;2
336;14;2
337;16;4
338;14;2
339;14;2
340;14;2
341;16;4
342;14;4
343;14;2
344;28;22
345;16;4
346;14;4
347;14;4
348;14;2
349;14;2
350;14;4
351;7;2
352;14;4
353;14;2
354;17;4
355;14;4
356;7;2
357;14;2
358;14;2
359;14;2
360;14;2
361;9;4
362;14;2
363;10;4
364;14;2
365;17;4
366;7;2
367;14;4
368;16;4
369;14;4
370;7;2
371;14;4
372;14;2
373;10;4
374;14;2
375;14;2
376;9;4
377;14;2
378;7;2
379;14;2
380;14;2
381;7;2
382;14;2
383;10;4
384;16;4
385;17;4
386;14;4
387;14;2
388;14;2
389;14;4
390;14;4
391;14;4
392;17;4
393;14;2
394;17;4
395;17;4
396;14;2
397;14;2
398;14;2
399;16;4
400;17;4
401;14;2
402;14;2
403;14;2
404;14;2
405;14;2
406;14;2
407;14;2
408;16;4
409;14;2
410;14;4
411;14;2
412;14;2
413;14;2
414;14;2
415;16;4
416;14;4
417;14;2
418;34;22
419;16;4
420;14;4
421;14;4
422;14;2
423;14;4
424;7;2
425;14;2
426;14;4
427;14;2
428;14;2
429;14;2
430;14;2
431;14;2
432;9;4
433;14;2
434;10;4
435;14;2
436;17;4
437;7;2
438;14;4
439;14;2
440;16;4
441;14;4
442;14;4
443;7;2
444;14;4
445;14;2
446;14;2
447;14;4
448;14;2
449;10;4
450;14;2
451;14;2
452;9;4
453;14;2
454;14;2
455;7;2
456;14;2
457;14;2
458;14;2
459;14;4
460;14;2
461;7;2
462;14;4
463;14;2
464;14;4
465;14;4
466;14;2
467;16;4
468;14;2
469;14;2
470;14;2
471;16;4
472;14;4
473;14;2
474;14;2
475;14;4
476;14;4
477;14;2
478;14;4
479;14;2
480;14;2
481;16;4
482;14;2
483;14;2
484;14;2
485;14;2
486;14;4
487;14;2
488;14;2
489;14;2
490;14;4
491;17;4
492;14;4
493;14;2
494;14;2
495;14;2
496;14;2
497;17;4
498;14;2
499;14;4
500;14;2
501;14;4
502;14;2
503;14;2
504;14;2
505;14;2
506;14;2
507;14;2
508;14;4
509;14;2
510;14;2
511;14;2
512;14;2
513;14;2
514;14;2
515;14;2
516;14;2
517;14;2
518;14;2
519;14;2
520;14;2
521;14;4
522;14;2
523;14;2
