producto;idSecuenciaIni;idSecuenciaFin
469;20120927;20121121
554;20151009;20151117
972;20130112;20130311
117;20220811;20220907
399;20210506;20210606
347;20220324;20220420
208;20201112;20201209
261;20190308;20190328
759;20200910;20201007
94;20111125;20120111
56;20230112;20230208
56;20171207;20180107
36;20220908;20221005
662;20221006;20221102
685;20190329;20190425
662;20151009;20151117
388;20240523;20240619
31;20160714;20160815
515;20180712;20180812
671;20141029;20141121
901;20130312;20130405
511;20240718;20240813
469;20230814;20230906
280;20171106;20171206
570;20120826;20120926
263;20130614;20130816
574;20231102;20231129
565;20160817;20160831
662;20231005;20231101
395;20190516;20190613
69;20130112;20130311
200;20170110;20170306
94;20240912;20241009
671;20210311;20210407
395;20190329;20190425
31;20130112;20130311
179;20170817;20170904
263;20191007;20191107
537;20190308;20190328
395;20181112;20181212
901;20160610;20160710
31;20210506;20210606
200;20181213;20190110
71;20150901;20151008
936;20121122;20130111
126;20190715;20190815
200;20210506;20210606
263;20220224;20220323
41;20241010;20241106
347;20190308;20190328
31;20130312;20130405
399;20180305;20180405
200;20220224;20220323
126;20220113;20220223
972;20151009;20151117
515;20171106;20171206
126;20141029;20141121
347;20170521;20170612
662;20180906;20181007
469;20200511;20200611
305;20140116;20140321
469;20180906;20181007
347;20200324;20200414
570;20181213;20190110
41;20220113;20220223
23;20190516;20190613
347;20120314;20120409
759;20190111;20190307
239;20170110;20170306
570;20180108;20180306
901;20181112;20181212
347;20140613;20140713
179;20171207;20180107
41;20190819;20190905
395;20210901;20210922
36;20180611;20180711
920;20210506;20210606
31;20150313;20150409
920;20200825;20200909
71;20170110;20170306
529;20141029;20141121
937;20151118;20160110
456;20181112;20181212
46;20140828;20141028
623;20191212;20200115
250;20160401;20160430
867;20180507;20180611
54;20170714;20170814
326;20220811;20220907
796;20131122;20140115
867;20130312;20130405
79;20170110;20170306
539;20161007;20161117
437;20220908;20221005
83;20210506;20210606
235;20190308;20190328
37;20200511;20200611
37;20180108;20180303
