number,value,datetime_start,datetime_complete,duration,params_batch_size,params_decoder_hidden_size,params_decoder_layers,params_encoder_hidden_size,params_encoder_n_layers,params_input_size,params_learning_rate,params_max_steps,params_scaler_type,state
0,1.213058886642024,2025-11-29 15:26:27.723417,2025-11-29 15:29:15.108213,0 days 00:02:47.384796,32,256,2,64,1,45,0.0026070247583707684,1200,standard,COMPLETE
1,1.1792910912531822,2025-11-29 15:29:15.109280,2025-11-29 15:42:25.560088,0 days 00:13:10.450808,32,256,3,256,1,60,0.00025081156860452336,2000,standard,COMPLETE
2,1.1613385127610256,2025-11-29 15:42:25.561964,2025-11-29 15:53:02.875394,0 days 00:10:37.313430,32,256,1,64,3,90,0.006586289317583112,2000,robust,COMPLETE
3,1.165666558172323,2025-11-29 15:53:02.876441,2025-11-29 15:59:45.273169,0 days 00:06:42.396728,32,128,1,64,3,75,0.0005989003672254305,1800,robust,COMPLETE
4,1.213986470779761,2025-11-29 15:59:45.274483,2025-11-29 16:02:20.605890,0 days 00:02:35.331407,64,64,3,64,1,30,0.00014063366777718192,1200,standard,COMPLETE
5,1.1622857048731818,2025-11-29 16:02:20.607104,2025-11-29 16:08:42.557410,0 days 00:06:21.950306,32,256,2,256,2,45,0.003482846706526885,1600,robust,COMPLETE
6,1.1960863176599912,2025-11-29 16:08:42.558461,2025-11-29 16:11:34.214712,0 days 00:02:51.656251,16,64,1,128,2,45,0.00021010799310103572,2000,standard,COMPLETE
7,1.231535974613918,2025-11-29 16:11:34.215761,2025-11-29 16:16:03.637276,0 days 00:04:29.421515,16,256,3,128,1,60,0.00010325337616482048,1200,minmax,COMPLETE
8,1.1697715299751101,2025-11-29 16:16:03.638597,2025-11-29 16:20:02.635221,0 days 00:03:58.996624,16,128,1,256,3,60,0.00011851515660043118,1000,robust,COMPLETE
9,1.1900431693622553,2025-11-29 16:20:02.637157,2025-11-29 16:27:35.808055,0 days 00:07:33.170898,64,128,2,64,3,60,0.0018495216589727262,1600,standard,COMPLETE
10,1.1788169727388886,2025-11-29 16:27:35.809080,2025-11-29 16:37:20.764489,0 days 00:09:44.955409,32,256,1,64,3,90,0.006536264082965742,1800,minmax,COMPLETE
11,1.2411363485906703,2025-11-29 16:37:20.765576,2025-11-29 16:48:58.398852,0 days 00:11:37.633276,32,256,2,256,2,90,0.009804065345423309,1600,robust,COMPLETE
12,1.1557540156035517,2025-11-29 16:48:58.399862,2025-11-29 16:54:25.064750,0 days 00:05:26.664888,32,256,2,256,2,30,0.0037927492630521783,1800,robust,COMPLETE
13,1.1663743179870742,2025-11-29 16:54:25.066792,2025-11-29 16:59:48.503774,0 days 00:05:23.436982,32,256,1,256,2,30,0.0011146975853891987,1800,robust,COMPLETE
14,1.1630973948158971,2025-11-29 16:59:48.505024,2025-11-29 17:17:16.643417,0 days 00:17:28.138393,64,256,2,128,2,75,0.005244387892785212,2000,robust,COMPLETE
15,1.1609834308136908,2025-11-29 17:17:16.644582,2025-11-29 17:23:39.358338,0 days 00:06:22.713756,32,64,2,64,3,75,0.0013791251188163788,1800,robust,COMPLETE
16,1.185043985340965,2025-11-29 17:23:39.359997,2025-11-29 17:30:37.937754,0 days 00:06:58.577757,32,64,2,256,2,75,0.000701562190865117,1400,minmax,COMPLETE
17,1.1645412230457055,2025-11-29 17:30:37.939076,2025-11-29 17:35:19.811262,0 days 00:04:41.872186,32,64,3,256,2,30,0.001549134983105405,1800,robust,COMPLETE
18,1.176756619336088,2025-11-29 17:35:19.812817,2025-11-29 17:38:48.075568,0 days 00:03:28.262751,16,64,2,64,3,75,0.0004991234041800165,1400,robust,COMPLETE
19,1.1573286890719379,2025-11-29 17:38:48.076619,2025-11-29 17:46:15.983765,0 days 00:07:27.907146,64,64,2,128,3,45,0.003310785111313099,1800,robust,COMPLETE
