number,value,datetime_start,datetime_complete,duration,params_batch_size,params_context_size,params_decoder_hidden_size,params_decoder_layers,params_encoder_hidden_size,params_encoder_n_layers,params_input_size,params_learning_rate,params_max_steps,params_scaler_type,state
0,1.2508113833073522,2025-11-28 00:44:04.042850,2025-11-28 00:45:03.395731,0 days 00:00:59.352881,16,15,256,2,64,1,45,0.00010994335574766199,600,minmax,COMPLETE
1,1.2270050938077717,2025-11-28 00:45:03.397784,2025-11-28 00:47:18.484947,0 days 00:02:15.087163,32,10,256,1,128,1,60,0.0015304852121831463,700,minmax,COMPLETE
2,1.2114667973962405,2025-11-28 00:47:18.486267,2025-11-28 00:49:22.743119,0 days 00:02:04.256852,32,10,256,1,128,1,45,0.0004201672054372534,800,standard,COMPLETE
3,1.2335034002023322,2025-11-28 00:49:22.744032,2025-11-28 00:51:46.332556,0 days 00:02:23.588524,64,10,128,3,64,1,60,0.0003646439558980723,400,robust,COMPLETE
4,1.2240721032745177,2025-11-28 00:51:46.334496,2025-11-28 00:53:44.931437,0 days 00:01:58.596941,64,10,128,3,64,3,30,0.0004589824181495653,500,minmax,COMPLETE
5,1.2184258336638845,2025-11-28 00:53:44.932706,2025-11-28 00:54:37.095528,0 days 00:00:52.162822,16,5,128,1,128,3,30,0.0001155735281626988,700,standard,COMPLETE
6,1.2425969938501038,2025-11-28 00:54:37.097952,2025-11-28 01:00:41.767028,0 days 00:06:04.669076,64,5,256,3,128,3,45,0.006097025297491433,500,standard,COMPLETE
7,1.2288223999380887,2025-11-28 01:00:41.769150,2025-11-28 01:07:48.517655,0 days 00:07:06.748505,64,5,256,3,64,2,90,0.0010903884523201113,400,standard,COMPLETE
8,1.198661086495487,2025-11-28 01:07:48.518709,2025-11-28 01:09:41.947928,0 days 00:01:53.429219,64,10,128,1,128,1,45,0.009360540102485375,600,robust,COMPLETE
9,1.236396405023872,2025-11-28 01:09:41.949212,2025-11-28 01:12:33.665850,0 days 00:02:51.716638,32,5,256,3,256,1,75,0.0010572705046816896,300,minmax,COMPLETE
10,1.2411661014999493,2025-11-28 01:12:33.667596,2025-11-28 01:17:15.971267,0 days 00:04:42.303671,64,15,64,2,256,2,75,0.008832489173674666,600,robust,COMPLETE
11,1.2312938761571932,2025-11-28 01:17:15.972379,2025-11-28 01:18:40.334590,0 days 00:01:24.362211,32,10,64,1,128,2,45,0.0032650423166708563,800,robust,COMPLETE
12,1.2037299714513028,2025-11-28 01:18:40.335513,2025-11-28 01:20:07.531592,0 days 00:01:27.196079,32,15,128,1,128,1,60,0.0003605463445515276,800,standard,COMPLETE
13,1.1785016119824672,2025-11-28 01:20:07.532574,2025-11-28 01:21:47.668395,0 days 00:01:40.135821,32,15,128,2,128,1,75,0.0028228353793799616,700,robust,COMPLETE
14,1.1825875767035459,2025-11-28 01:21:47.670462,2025-11-28 01:23:10.248232,0 days 00:01:22.577770,16,15,128,2,128,2,90,0.0037433095612438615,700,robust,COMPLETE
15,1.2428214968286384,2025-11-28 01:23:10.249575,2025-11-28 01:24:39.973846,0 days 00:01:29.724271,16,15,128,2,128,2,90,0.0033510522719875763,700,robust,COMPLETE
16,1.2449234842518164,2025-11-28 01:24:39.975189,2025-11-28 01:26:34.220718,0 days 00:01:54.245529,16,15,128,2,256,2,75,0.0024267256444009152,700,robust,COMPLETE
17,1.2422876024770624,2025-11-28 01:26:34.222175,2025-11-28 01:28:09.979620,0 days 00:01:35.757445,16,15,128,2,128,3,90,0.004754974126915879,700,robust,COMPLETE
18,1.1706382166479217,2025-11-28 01:28:09.981110,2025-11-28 01:29:19.004447,0 days 00:01:09.023337,16,15,64,2,128,2,75,0.0020858895954663018,800,robust,COMPLETE
19,1.174911237734002,2025-11-28 01:29:19.006150,2025-11-28 01:32:38.776785,0 days 00:03:19.770635,32,15,64,2,256,2,75,0.0017349632101123806,800,robust,COMPLETE
