Algoritmo,NDetalle,Cluster,Producto,MAE,MSE,RMSE,R2,MAPE (%),SMAPE (%),RMSSE,MAE (%)
TFT_GPU,Global,,,1.4151,6.6032,2.5697,0.1383,66.05,163.0,0.7875,86.66
TFT_GPU,Global,2.0,,3.5364,27.3987,5.2344,0.1533,65.47,79.64,0.7279,61.58
TFT_GPU,Global,1.0,,2.7751,15.2793,3.9089,-0.0163,51.92,104.28,0.7812,72.78
TFT_GPU,Global,0.0,,1.7447,7.2867,2.6994,0.0101,50.55,137.02,0.776,90.36
TFT_GPU,Global,3.0,,0.8263,3.5073,1.8728,-0.1752,93.08,194.73,0.8404,101.75
TFT_GPU,Global,0.0,413.0,1.5124,4.5834,2.1409,0.0531,30.62,95.59,0.7495,72.82
TFT_GPU,Global,0.0,294.0,1.8493,7.7909,2.7912,0.0232,34.99,125.83,0.6431,100.17
TFT_GPU,Global,1.0,144.0,3.9391,28.8006,5.3666,-0.1212,61.87,95.82,0.8022,69.67
TFT_GPU,Global,1.0,41.0,3.2493,21.5298,4.64,-0.0559,55.77,53.98,0.792,49.12
TFT_GPU,Global,2.0,1.0,6.9781,141.7424,11.9056,-0.1424,60.2,70.72,0.7496,59.1
TFT_GPU,Global,2.0,2.0,3.2517,18.2976,4.2776,0.105,69.5,63.63,0.5943,51.55
TFT_GPU,Global,3.0,257.0,0.5155,1.5531,1.2462,-0.1704,99.0,199.24,0.8479,103.1
TFT_GPU,Global,3.0,314.0,0.0904,0.0082,0.0907,0.0,inf,200.0,inf,inf
TFT_GPU,Cluster,0.0,,1.7275,7.9749,2.824,-0.0834,60.35,151.79,0.8118,89.47
TFT_GPU,Cluster,0.0,413.0,1.5564,4.7835,2.1871,0.0117,47.32,119.66,0.7656,74.94
TFT_GPU,Cluster,0.0,294.0,1.8819,10.2575,3.2027,-0.286,61.02,158.92,0.7379,101.94
TFT_GPU,Cluster,1.0,,2.7778,14.9051,3.8607,0.0086,55.0,102.96,0.7716,72.85
TFT_GPU,Cluster,1.0,144.0,4.1579,30.1923,5.4948,-0.1754,73.34,98.83,0.8213,73.54
TFT_GPU,Cluster,1.0,41.0,3.7866,24.4748,4.9472,-0.2003,67.08,73.17,0.8445,57.24
TFT_GPU,Cluster,2.0,,4.2961,37.1963,6.0989,-0.1495,90.86,89.5,0.8481,74.81
TFT_GPU,Cluster,2.0,1.0,7.6795,147.5615,12.1475,-0.1893,66.27,83.63,0.7648,65.04
TFT_GPU,Cluster,2.0,2.0,4.1704,35.6172,5.968,-0.7422,91.07,77.99,0.8292,66.12
TFT_GPU,Cluster,3.0,,0.803,3.6207,1.9028,-0.2132,95.91,194.76,0.8539,98.88
TFT_GPU,Cluster,3.0,257.0,0.5,1.5769,1.2558,-0.1884,100.0,200.0,0.8544,100.0
TFT_GPU,Cluster,3.0,314.0,0.0,0.0,0.0,1.0,inf,0.0,inf,inf
