Algoritmo,NDetalle,Cluster,Producto,MAE,MSE,RMSE,R2,MAPE (%),SMAPE (%),RMSSE,MAE (%)
NAIVE,Global,,,228.2308,142556.6154,377.5667,-0.0564,38.82,18.65,0.6329,15.63
NAIVE,Global,0.0,,98.9615,23525.1923,153.3792,-0.0479,38.32,19.74,0.6405,17.03
NAIVE,Global,1.0,,88.9615,17512.1923,132.3336,-0.5716,51.16,23.87,0.7435,22.01
NAIVE,Global,2.0,,20.5,805.8077,28.3868,-0.0836,100.21,28.28,0.6976,22.31
NAIVE,Global,3.0,,76.3462,10486.2692,102.4025,-0.0301,37.37,23.19,0.6638,19.96
NAIVE,Global,0.0,413.0,1.6154,4.8462,2.2014,-0.0012,23.93,98.66,0.7706,77.78
NAIVE,Global,0.0,294.0,7.3846,59.1538,7.6912,-6.4162,228.63,150.61,1.7719,400.0
NAIVE,Global,1.0,144.0,3.9615,26.1154,5.1103,-0.0166,67.27,85.17,0.7638,70.07
NAIVE,Global,1.0,41.0,3.3846,20.5385,4.5319,-0.0073,72.57,57.62,0.7736,51.16
NAIVE,Global,2.0,1.0,7.3462,147.1923,12.1323,-0.1863,71.59,66.46,0.7638,62.21
NAIVE,Global,2.0,2.0,3.6154,20.9231,4.5742,-0.0234,75.79,65.31,0.6355,57.32
NAIVE,Global,3.0,257.0,0.5,1.5769,1.2558,-0.1884,100.0,200.0,0.8544,100.0
NAIVE,Global,3.0,314.0,0.0,0.0,0.0,1.0,inf,0.0,inf,inf
MEDIA7,Global,,,243.3297,134958.5683,367.3671,-0.0001,37.54,19.84,0.6158,16.67
MEDIA7,Global,0.0,,108.3462,22597.5,150.3246,-0.0066,37.08,21.55,0.6277,18.64
MEDIA7,Global,1.0,,80.9615,11777.5769,108.5245,-0.057,39.49,23.43,0.6097,20.03
MEDIA7,Global,2.0,,19.0385,773.4089,27.8102,-0.04,101.37,26.43,0.6834,20.72
MEDIA7,Global,3.0,,70.8846,11740.2692,108.3525,-0.1533,41.47,21.26,0.7023,18.53
MEDIA7,Global,0.0,413.0,1.8462,4.9639,2.228,-0.0255,34.41,102.48,0.7799,88.89
MEDIA7,Global,0.0,294.0,2.0,8.0,2.8284,-0.003,27.9,127.35,0.6516,108.33
MEDIA7,Global,1.0,144.0,4.467,28.8375,5.3701,-0.1226,99.97,84.34,0.8027,79.01
MEDIA7,Global,1.0,41.0,4.3297,31.4772,5.6105,-0.5437,57.19,82.94,0.9577,65.45
MEDIA7,Global,2.0,1.0,7.6209,154.5706,12.4326,-0.2457,68.78,70.43,0.7827,64.54
MEDIA7,Global,2.0,2.0,3.8901,22.4223,4.7352,-0.0968,86.62,67.42,0.6579,61.67
MEDIA7,Global,3.0,257.0,0.5,1.5769,1.2558,-0.1884,100.0,200.0,0.8544,100.0
MEDIA7,Global,3.0,314.0,0.0,0.0,0.0,1.0,inf,0.0,inf,inf
