Algoritmo,NDetalle,Cluster,Producto,MAE,MSE,RMSE,R2,MAPE (%),SMAPE (%),RMSSE,MAE (%)
CatBoost,Global,,,1.5676,5.5741,2.3609,0.2726,49.66,144.67,0.7235,96.01
CatBoost,Global,2.0,,3.5895,25.5059,5.0503,0.2118,71.57,80.71,0.7023,62.5
CatBoost,Global,1.0,,2.771,12.8129,3.5795,0.1478,55.19,98.58,0.7154,72.67
CatBoost,Global,0.0,,1.799,6.4526,2.5402,0.1234,40.36,126.18,0.7302,93.17
CatBoost,Global,3.0,,1.0803,2.7064,1.6451,0.0931,55.37,169.04,0.7382,133.02
CatBoost,Global,0.0,413.0,1.7067,4.6695,2.1609,0.0353,33.58,102.16,0.7565,82.17
CatBoost,Global,0.0,294.0,2.1824,8.4852,2.9129,-0.0638,37.83,130.57,0.6711,118.21
CatBoost,Global,1.0,144.0,3.8136,24.9639,4.9964,0.0282,76.05,87.26,0.7468,67.45
CatBoost,Global,1.0,41.0,3.1522,17.827,4.2222,0.1257,60.14,62.0,0.7207,47.65
CatBoost,Global,2.0,1.0,6.6507,120.3623,10.971,0.0299,68.43,57.14,0.6907,56.33
CatBoost,Global,2.0,2.0,3.514,20.4862,4.5262,-0.0021,72.01,63.45,0.6289,55.71
CatBoost,Global,3.0,257.0,0.8707,1.3328,1.1545,-0.0044,75.57,185.67,0.7855,174.13
CatBoost,Global,3.0,314.0,0.4125,0.2018,0.4492,0.0,inf,200.0,inf,inf
CatBoost,Cluster,0.0,,1.8064,6.4825,2.5461,0.1193,39.84,125.77,0.7319,93.55
CatBoost,Cluster,0.0,413.0,1.7257,4.7045,2.169,0.028,33.4,102.08,0.7593,83.09
CatBoost,Cluster,0.0,294.0,2.201,8.2678,2.8754,-0.0365,39.21,130.66,0.6625,119.22
CatBoost,Cluster,1.0,,2.7718,12.8302,3.5819,0.1466,55.46,98.49,0.7159,72.69
CatBoost,Cluster,1.0,144.0,3.901,24.5531,4.9551,0.0442,79.71,85.79,0.7406,69.0
CatBoost,Cluster,1.0,41.0,3.2815,18.3716,4.2862,0.099,65.65,63.35,0.7316,49.6
CatBoost,Cluster,2.0,,3.6127,25.0246,5.0025,0.2267,74.3,80.93,0.6957,62.91
CatBoost,Cluster,2.0,1.0,6.9381,112.6399,10.6132,0.0922,90.27,61.15,0.6682,58.76
CatBoost,Cluster,2.0,2.0,3.6435,20.3552,4.5117,0.0043,83.18,64.91,0.6269,57.76
CatBoost,Cluster,3.0,,1.0824,2.7236,1.6503,0.0874,55.84,169.25,0.7406,133.28
CatBoost,Cluster,3.0,257.0,0.8122,1.3368,1.1562,-0.0075,79.59,187.57,0.7867,162.44
CatBoost,Cluster,3.0,314.0,0.1467,0.0559,0.2365,0.0,inf,200.0,inf,inf
CatBoost,Producto,0.0,413.0,1.8263,5.7153,2.3907,-0.1808,39.75,112.87,0.8369,87.93
CatBoost,Producto,0.0,294.0,2.6165,12.3356,3.5122,-0.5465,70.88,146.81,0.8092,141.73
CatBoost,Producto,1.0,144.0,3.6268,22.724,4.767,0.1154,63.82,82.13,0.7125,64.15
CatBoost,Producto,1.0,41.0,4.0972,26.1531,5.114,-0.2826,79.28,80.67,0.8729,61.94
CatBoost,Producto,2.0,1.0,8.8232,148.9215,12.2033,-0.2002,125.32,76.65,0.7683,74.72
CatBoost,Producto,2.0,2.0,4.1124,27.7966,5.2722,-0.3597,78.59,69.28,0.7325,65.2
CatBoost,Producto,3.0,257.0,1.414,3.9064,1.9765,-1.944,75.71,183.14,1.3448,282.81
CatBoost,Producto,3.0,314.0,0.2324,0.099,0.3147,0.0,inf,200.0,inf,inf
