Algoritmo,NDetalle,Cluster,Producto,MAE,MSE,RMSE,R2,MAPE (%),SMAPE (%),RMSSE,MAE (%)
DEEPAR,Global,,,1.4573,6.4416,2.538,0.1594,63.33,150.46,0.7778,89.25
DEEPAR,Global,2.0,,3.6895,27.7944,5.272,0.1411,65.61,81.13,0.7331,64.25
DEEPAR,Global,1.0,,2.8537,15.3048,3.9121,-0.018,54.59,107.79,0.7819,74.84
DEEPAR,Global,0.0,,1.7792,7.4747,2.734,-0.0155,55.51,138.24,0.7859,92.14
DEEPAR,Global,3.0,,0.8615,3.0614,1.7497,-0.0258,77.65,177.12,0.7851,106.09
DEEPAR,Global,0.0,413.0,1.6136,4.9159,2.2172,-0.0156,37.62,109.82,0.7762,77.69
DEEPAR,Global,0.0,294.0,1.9734,8.5722,2.9278,-0.0747,51.18,143.27,0.6745,106.89
DEEPAR,Global,1.0,144.0,3.8743,27.2897,5.224,-0.0624,63.43,93.22,0.7808,68.53
DEEPAR,Global,1.0,41.0,3.5203,22.4937,4.7428,-0.1031,62.42,68.61,0.8096,53.21
DEEPAR,Global,2.0,1.0,7.2276,139.4203,11.8076,-0.1236,67.5,64.13,0.7434,61.21
DEEPAR,Global,2.0,2.0,3.4267,19.5083,4.4168,0.0458,68.55,64.84,0.6137,54.33
DEEPAR,Global,3.0,257.0,0.5055,1.5448,1.2429,-0.1642,99.66,199.52,0.8457,101.09
DEEPAR,Global,3.0,314.0,0.4639,0.335,0.5788,0.0,inf,200.0,inf,inf
DEEPAR,Cluster,0.0,,1.7671,7.2841,2.6989,0.0104,54.13,136.49,0.7758,91.52
DEEPAR,Cluster,0.0,413.0,1.5429,4.7967,2.1901,0.009,29.77,99.55,0.7667,74.29
DEEPAR,Cluster,0.0,294.0,1.9325,8.3006,2.8811,-0.0406,50.5,137.87,0.6638,104.68
DEEPAR,Cluster,1.0,,2.7997,14.5135,3.8097,0.0346,55.97,106.02,0.7614,73.42
DEEPAR,Cluster,1.0,144.0,3.6996,25.2649,5.0264,0.0165,66.19,88.52,0.7513,65.43
DEEPAR,Cluster,1.0,41.0,2.8412,17.0911,4.1341,0.1618,52.15,57.68,0.7057,42.95
DEEPAR,Cluster,2.0,,3.5496,27.1588,5.2114,0.1607,65.62,83.83,0.7247,61.81
DEEPAR,Cluster,2.0,1.0,6.8866,141.9554,11.9145,-0.1441,56.75,62.84,0.7501,58.32
DEEPAR,Cluster,2.0,2.0,3.1621,16.8146,4.1006,0.1775,65.63,65.28,0.5697,50.13
DEEPAR,Cluster,3.0,,0.9471,2.9116,1.7063,0.0244,65.46,170.88,0.7657,116.62
DEEPAR,Cluster,3.0,257.0,0.5525,1.3995,1.183,-0.0547,93.69,194.76,0.8049,110.51
DEEPAR,Cluster,3.0,314.0,0.8151,0.9495,0.9744,0.0,inf,200.0,inf,inf
