Algoritmo,NDetalle,Cluster,Producto,MAE,MSE,RMSE,R2,MAPE (%),SMAPE (%),RMSSE,MAE (%)
GRU,Global,,,1.4104,6.848,2.6169,0.1064,72.86,162.25,0.802,86.38
GRU,Global,2.0,,3.6637,27.0123,5.1973,0.1652,73.56,80.49,0.7228,63.8
GRU,Global,1.0,,2.784,14.5072,3.8088,0.0351,51.51,103.76,0.7612,73.01
GRU,Global,0.0,,1.7498,8.1618,2.8569,-0.1088,64.37,151.75,0.8213,90.62
GRU,Global,3.0,,0.8079,3.5996,1.8973,-0.2061,95.54,195.64,0.8514,99.48
GRU,Global,0.0,413.0,1.9042,6.6357,2.576,-0.3709,74.38,151.04,0.9018,91.69
GRU,Global,0.0,294.0,1.9459,7.8471,2.8013,0.0162,33.49,126.56,0.6454,105.4
GRU,Global,1.0,144.0,3.6634,24.476,4.9473,0.0472,66.19,87.3,0.7395,64.79
GRU,Global,1.0,41.0,3.8185,26.5648,5.1541,-0.3028,57.73,76.18,0.8798,57.72
GRU,Global,2.0,1.0,6.92,133.7835,11.5665,-0.0782,61.91,60.14,0.7282,58.61
GRU,Global,2.0,2.0,3.4844,19.1625,4.3775,0.0627,77.19,63.83,0.6082,55.24
GRU,Global,3.0,257.0,0.5164,1.5431,1.2422,-0.1629,98.83,198.96,0.8452,103.28
GRU,Global,3.0,314.0,0.0312,0.0016,0.0403,0.0,inf,200.0,inf,inf
GRU,Cluster,0.0,,1.7248,7.5129,2.741,-0.0207,52.03,138.19,0.7879,89.33
GRU,Cluster,0.0,413.0,1.5418,4.314,2.077,0.1087,29.04,91.89,0.7271,74.23
GRU,Cluster,0.0,294.0,1.9552,7.6823,2.7717,0.0369,32.31,122.23,0.6386,105.91
GRU,Cluster,1.0,,2.7513,14.9181,3.8624,0.0077,51.7,102.38,0.7719,72.15
GRU,Cluster,1.0,144.0,3.7833,23.5036,4.848,0.085,84.31,86.3,0.7246,66.92
GRU,Cluster,1.0,41.0,2.9678,17.306,4.16,0.1513,60.0,59.85,0.7101,44.86
GRU,Cluster,2.0,,3.9409,31.5993,5.6213,0.0235,82.94,86.46,0.7817,68.62
GRU,Cluster,2.0,1.0,7.9687,158.7607,12.6,-0.2795,81.47,80.48,0.7933,67.49
GRU,Cluster,2.0,2.0,4.0288,25.1696,5.0169,-0.2312,95.8,77.46,0.6971,63.87
GRU,Cluster,3.0,,0.8042,3.6098,1.8999,-0.2096,95.64,194.13,0.8526,99.03
GRU,Cluster,3.0,257.0,0.502,1.5684,1.2523,-0.182,99.71,199.48,0.8521,100.4
GRU,Cluster,3.0,314.0,0.0038,0.0001,0.0073,0.0,inf,200.0,inf,inf
