Algoritmo,NDetalle,Cluster,Producto,MAE,MSE,RMSE,R2,MAPE (%),SMAPE (%),RMSSE,MAE (%)
LightGBM,Global,,,1.5641,5.6095,2.3684,0.268,49.71,144.82,0.7258,95.79
LightGBM,Global,2.0,,3.6213,25.7696,5.0764,0.2036,72.9,81.03,0.7059,63.06
LightGBM,Global,1.0,,2.7725,12.9003,3.5917,0.1419,55.31,99.15,0.7178,72.71
LightGBM,Global,0.0,,1.7919,6.4967,2.5489,0.1174,40.1,126.28,0.7327,92.8
LightGBM,Global,3.0,,1.0766,2.7169,1.6483,0.0896,55.62,169.12,0.7397,132.57
LightGBM,Global,0.0,413.0,1.7226,4.7637,2.1826,0.0158,32.92,101.79,0.7641,82.94
LightGBM,Global,0.0,294.0,2.2159,8.4671,2.9098,-0.0615,41.56,131.66,0.6704,120.03
LightGBM,Global,1.0,144.0,3.6699,23.7701,4.8755,0.0747,72.92,83.52,0.7287,64.91
LightGBM,Global,1.0,41.0,3.227,19.4954,4.4154,0.0439,63.73,62.84,0.7537,48.78
LightGBM,Global,2.0,1.0,7.0415,124.0376,11.1372,0.0003,76.36,61.72,0.7012,59.64
LightGBM,Global,2.0,2.0,3.6495,22.0767,4.6986,-0.0799,79.09,64.28,0.6528,57.86
LightGBM,Global,3.0,257.0,0.7856,1.295,1.138,0.0241,78.0,186.85,0.7743,157.12
LightGBM,Global,3.0,314.0,0.2686,0.2392,0.4891,0.0,inf,200.0,inf,inf
LightGBM,Cluster,0.0,,1.7868,6.4994,2.5494,0.117,39.46,125.92,0.7329,92.54
LightGBM,Cluster,0.0,413.0,1.6908,4.4352,2.106,0.0837,32.51,99.81,0.7372,81.41
LightGBM,Cluster,0.0,294.0,2.1679,8.261,2.8742,-0.0357,37.5,129.35,0.6622,117.43
LightGBM,Cluster,1.0,,2.7842,13.0025,3.6059,0.1352,55.66,99.28,0.7207,73.02
LightGBM,Cluster,1.0,144.0,3.7882,24.9223,4.9922,0.0298,81.08,84.01,0.7462,67.0
LightGBM,Cluster,1.0,41.0,3.2276,18.7547,4.3307,0.0802,64.46,63.33,0.7392,48.79
LightGBM,Cluster,2.0,,3.6701,26.6051,5.158,0.1778,73.66,81.63,0.7173,63.91
LightGBM,Cluster,2.0,1.0,7.5889,131.2395,11.456,-0.0577,89.69,65.52,0.7213,64.27
LightGBM,Cluster,2.0,2.0,3.4412,19.6834,4.4366,0.0372,77.12,63.46,0.6164,54.55
LightGBM,Cluster,3.0,,1.072,2.7388,1.6549,0.0823,56.45,169.51,0.7426,132.01
LightGBM,Cluster,3.0,257.0,0.7744,1.3627,1.1673,-0.027,74.83,186.2,0.7943,154.88
LightGBM,Cluster,3.0,314.0,0.1266,0.0321,0.1791,0.0,inf,200.0,inf,inf
LightGBM,Producto,0.0,413.0,2.0231,7.7729,2.788,-0.6059,46.51,121.69,0.976,97.41
LightGBM,Producto,0.0,294.0,2.6142,11.8008,3.4352,-0.4795,65.09,139.14,0.7914,141.6
LightGBM,Producto,1.0,144.0,4.3959,31.3546,5.5995,-0.2206,81.42,86.47,0.837,77.75
LightGBM,Producto,1.0,41.0,4.8414,37.2083,6.0999,-0.8248,68.01,98.3,1.0412,73.18
LightGBM,Producto,2.0,1.0,8.7519,157.7582,12.5602,-0.2714,131.5,79.49,0.7908,74.12
LightGBM,Producto,2.0,2.0,4.4357,28.3108,5.3208,-0.3848,89.42,76.48,0.7393,70.32
LightGBM,Producto,3.0,257.0,1.2824,2.7757,1.666,-1.0918,72.45,184.41,1.1336,256.48
LightGBM,Producto,3.0,314.0,0.2661,0.1085,0.3295,0.0,inf,200.0,inf,inf
