Algoritmo,NDetalle,Cluster,Producto,MAE,MSE,RMSE,R2,MAPE (%),SMAPE (%),RMSSE,MAE (%)
LSTM,Global,,,1.4428,6.5455,2.5584,0.1458,67.36,157.4,0.784,88.36
LSTM,Global,2.0,,3.636,27.4192,5.2363,0.1527,66.73,80.73,0.7282,63.31
LSTM,Global,1.0,,2.8403,14.9759,3.8699,0.0039,51.03,105.49,0.7734,74.49
LSTM,Global,0.0,,1.7659,7.4613,2.7315,-0.0137,55.9,141.68,0.7852,91.46
LSTM,Global,3.0,,0.8473,3.3539,1.8314,-0.1238,90.82,188.97,0.8218,104.34
LSTM,Global,0.0,413.0,1.7149,5.5016,2.3456,-0.1366,54.81,126.66,0.8211,82.57
LSTM,Global,0.0,294.0,1.9056,8.7809,2.9633,-0.1009,63.88,153.35,0.6827,103.22
LSTM,Global,1.0,144.0,3.8417,26.242,5.1227,-0.0216,63.35,91.14,0.7657,67.95
LSTM,Global,1.0,41.0,3.9651,27.8675,5.279,-0.3667,57.94,79.13,0.9011,59.94
LSTM,Global,2.0,1.0,6.7735,139.921,11.8288,-0.1277,54.42,56.86,0.7447,57.37
LSTM,Global,2.0,2.0,3.4648,19.804,4.4502,0.0313,69.46,63.68,0.6183,54.93
LSTM,Global,3.0,257.0,0.6211,1.4269,1.1945,-0.0754,91.0,193.58,0.8128,124.22
LSTM,Global,3.0,314.0,0.1908,0.0429,0.2071,0.0,inf,200.0,inf,inf
LSTM,Cluster,0.0,,1.7544,7.4312,2.726,-0.0096,53.94,138.71,0.7836,90.86
LSTM,Cluster,0.0,413.0,1.702,5.3761,2.3186,-0.1107,52.82,124.33,0.8117,81.95
LSTM,Cluster,0.0,294.0,1.901,8.6282,2.9374,-0.0817,53.32,145.4,0.6767,102.97
LSTM,Cluster,1.0,,2.7712,14.8582,3.8546,0.0117,50.37,103.4,0.7704,72.68
LSTM,Cluster,1.0,144.0,3.7044,25.7434,5.0738,-0.0022,64.05,89.76,0.7584,65.52
LSTM,Cluster,1.0,41.0,3.8172,26.2516,5.1236,-0.2874,57.47,76.73,0.8746,57.7
LSTM,Cluster,2.0,,3.687,29.2432,5.4077,0.0963,68.67,79.13,0.752,64.2
LSTM,Cluster,2.0,1.0,7.181,152.5745,12.3521,-0.2297,60.98,70.3,0.7777,60.82
LSTM,Cluster,2.0,2.0,3.2375,18.7379,4.3287,0.0834,59.72,62.46,0.6014,51.33
LSTM,Cluster,3.0,,0.8163,3.5454,1.8829,-0.188,94.64,194.25,0.8449,100.51
LSTM,Cluster,3.0,257.0,0.5253,1.4883,1.22,-0.1216,97.54,197.72,0.8301,105.06
LSTM,Cluster,3.0,314.0,0.0559,0.0054,0.0733,0.0,inf,200.0,inf,inf
