Algoritmo,MAE,MSE,RMSE,R2,MAPE (%),SMAPE (%),RMSSE,MAE (%)
Media7_Total,502.3641,402475.1422,634.4093,-0.0026,40.28,56.25,0.6475,41.03
Media7_Cluster_0,204.2396,64597.6564,254.1607,-0.0012,39.35,56.8,0.6473,41.9
Media7_Cluster_1,151.3963,31744.6669,178.1703,-0.0095,43.6,61.19,0.632,44.66
Media7_Cluster_2,34.0922,1765.925,42.0229,-0.0001,97.97,61.93,0.6818,44.24
Media7_Cluster_3,123.4101,30014.9282,173.2482,-0.0595,37.38,52.0,0.6859,38.47
Media7_Prod_0_294,2.0,7.3548,2.712,-0.0285,27.9,139.07,0.6844,129.17
Media7_Prod_0_413,1.765,4.8038,2.1918,-0.0346,27.42,116.18,0.7608,101.32
Media7_Prod_1_41,4.2258,29.5161,5.4329,-0.2821,57.29,104.91,0.7319,76.16
Media7_Prod_1_144,4.4608,27.8315,5.2756,-0.0759,81.56,102.84,0.6996,94.07
Media7_Prod_2_1,7.5207,141.6906,11.9034,-0.1526,65.96,94.79,0.774,75.94
Media7_Prod_2_2,4.1613,25.4516,5.045,-0.1297,75.79,87.03,0.7178,78.66
Media7_Prod_3_257,0.4194,1.3226,1.15,-0.1534,100.0,200.0,0.8572,100.0
Media7_Prod_3_314,0.0,0.0,0.0,1.0,inf,0.0,inf,inf
