Algoritmo,MAE,MSE,RMSE,R2,MAPE (%),SMAPE (%),RMSSE,MAE (%)
Naive_Total,440.9355,505565.0645,711.031,-0.2594,38.82,47.9,0.7257,36.01
Naive_Cluster_0,182.0323,80536.6129,283.7897,-0.2482,38.32,48.81,0.7228,37.34
Naive_Cluster_1,152.6774,52470.871,229.0652,-0.6686,51.16,52.28,0.8126,45.04
Naive_Cluster_2,30.7419,1813.9032,42.5899,-0.0272,100.21,55.97,0.691,39.89
Naive_Cluster_3,122.9032,30282.8387,174.0197,-0.0689,37.37,51.71,0.689,38.31
Naive_Prod_C0_413,1.6774,4.7097,2.1702,-0.0143,23.93,115.0,0.7533,96.3
Naive_Prod_C0_294,7.6452,62.6774,7.9169,-7.765,228.63,158.58,1.998,493.75
Naive_Prod_C1_144,4.129,25.9355,5.0927,-0.0026,67.27,103.69,0.6753,87.07
Naive_Prod_C1_41,3.9677,25.129,5.0129,-0.0915,72.57,80.58,0.6753,71.51
Naive_Prod_C2_1,7.2903,131.3548,11.461,-0.0686,71.59,88.0,0.7453,73.62
Naive_Prod_C2_2,4.1613,25.4516,5.045,-0.1297,75.79,87.03,0.7178,78.66
Naive_Prod_C3_257,0.4194,1.3226,1.15,-0.1534,100.0,200.0,0.8572,100.0
Naive_Prod_C3_314,0.0,0.0,0.0,1.0,inf,0.0,inf,inf
