Algoritmo,NDetalle,Cluster,Producto,MAE,MSE,RMSE,R2,MAPE (%),SMAPE (%),RMSSE,MAE (%)
NBEATS,Global,,,1.461,7.5007,2.7387,0.0212,76.3,169.22,0.8393,89.48
NBEATS,Global,2.0,,3.9159,31.9274,5.6504,0.0133,58.97,91.6,0.7858,68.19
NBEATS,Global,1.0,,3.0061,18.318,4.28,-0.2184,57.05,121.32,0.8554,78.84
NBEATS,Global,0.0,,1.8001,8.7798,2.9631,-0.1928,74.94,163.84,0.8518,93.23
NBEATS,Global,3.0,,0.8132,3.419,1.849,-0.1456,91.02,191.18,0.8297,100.14
NBEATS,Global,0.0,413.0,1.78,5.6356,2.3739,-0.1643,50.61,122.68,0.831,85.7
NBEATS,Global,0.0,294.0,1.917,8.9351,2.9892,-0.1202,66.28,156.07,0.6887,103.84
NBEATS,Global,1.0,144.0,4.0992,28.0313,5.2945,-0.0912,62.54,91.54,0.7914,72.5
NBEATS,Global,1.0,41.0,4.3537,31.7431,5.6341,-0.5568,56.59,83.44,0.9617,65.81
NBEATS,Global,2.0,1.0,7.3002,148.1073,12.1699,-0.1937,68.19,66.2,0.7662,61.83
NBEATS,Global,2.0,2.0,3.6501,20.7766,4.5581,-0.0163,66.92,69.14,0.6333,57.87
NBEATS,Global,3.0,257.0,0.5013,1.576,1.2554,-0.1877,99.94,199.92,0.8542,100.26
NBEATS,Global,3.0,314.0,0.0039,0.0001,0.0079,0.0,inf,200.0,inf,inf
NBEATS,Cluster,0.0,,1.7704,8.0286,2.8335,-0.0907,64.1,151.69,0.8145,91.69
NBEATS,Cluster,0.0,413.0,1.6611,4.9838,2.2324,-0.0297,30.66,104.13,0.7815,79.98
NBEATS,Cluster,0.0,294.0,1.8753,9.1676,3.0278,-0.1493,68.4,159.03,0.6976,101.58
NBEATS,Cluster,1.0,,2.9212,16.1794,4.0224,-0.0762,52.69,107.91,0.8039,76.61
NBEATS,Cluster,1.0,144.0,4.0099,25.8366,5.083,-0.0058,71.58,86.12,0.7598,70.92
NBEATS,Cluster,1.0,41.0,4.0032,26.9786,5.1941,-0.3231,56.08,74.64,0.8866,60.51
NBEATS,Cluster,2.0,,4.3205,36.1999,6.0166,-0.1187,73.18,92.99,0.8367,75.23
NBEATS,Cluster,2.0,1.0,7.1172,142.6213,11.9424,-0.1494,57.26,64.53,0.7519,60.28
NBEATS,Cluster,2.0,2.0,4.0438,26.1712,5.1158,-0.2802,86.53,68.75,0.7108,64.11
NBEATS,Cluster,3.0,,0.8059,3.5892,1.8945,-0.2027,95.52,195.88,0.8501,99.23
NBEATS,Cluster,3.0,257.0,0.5002,1.5762,1.2555,-0.1879,99.99,199.97,0.8542,100.03
NBEATS,Cluster,3.0,314.0,0.0007,0.0,0.001,0.0,inf,200.0,inf,inf
