Algoritmo,NDetalle,Cluster,Producto,MAE,MSE,RMSE,R2,MAPE (%),SMAPE (%),RMSSE,MAE (%)
RF,Global,,,1.5856,5.7798,2.4041,0.2458,49.15,144.14,0.7368,97.11
RF,Global,2.0,,3.687,26.0898,5.1078,0.1937,73.95,80.76,0.7103,64.2
RF,Global,1.0,,2.7915,12.9468,3.5982,0.1389,55.9,98.7,0.7191,73.21
RF,Global,0.0,,1.8133,6.544,2.5581,0.111,39.6,125.47,0.7354,93.91
RF,Global,3.0,,1.0973,2.9886,1.7288,-0.0014,54.14,168.45,0.7758,135.12
RF,Global,0.0,413.0,1.7531,4.8084,2.1928,0.0066,35.16,103.1,0.7676,84.41
RF,Global,0.0,294.0,2.2137,8.4286,2.9032,-0.0567,40.18,130.76,0.6689,119.91
RF,Global,1.0,144.0,3.7881,24.6933,4.9692,0.0387,81.8,83.83,0.7428,67.0
RF,Global,1.0,41.0,3.1743,18.4054,4.2902,0.0974,59.95,62.25,0.7323,47.98
RF,Global,2.0,1.0,7.5915,131.7315,11.4774,-0.0617,90.85,67.9,0.7226,64.29
RF,Global,2.0,2.0,3.6923,21.6974,4.658,-0.0613,79.04,66.73,0.6472,58.54
RF,Global,3.0,257.0,0.9103,1.4445,1.2019,-0.0886,71.9,183.72,0.8178,182.06
RF,Global,3.0,314.0,0.3853,0.1581,0.3976,0.0,inf,200.0,inf,inf
RF,Cluster,0.0,,1.8138,6.5673,2.5627,0.1078,39.66,125.54,0.7367,93.94
RF,Cluster,0.0,413.0,1.7652,4.8125,2.1937,0.0057,35.37,102.73,0.768,84.99
RF,Cluster,0.0,294.0,2.2717,8.7106,2.9514,-0.0921,42.06,131.38,0.68,123.05
RF,Cluster,1.0,,2.8095,13.014,3.6075,0.1344,56.18,98.59,0.721,73.68
RF,Cluster,1.0,144.0,3.8325,25.0484,5.0048,0.0249,83.31,83.63,0.7481,67.78
RF,Cluster,1.0,41.0,3.2378,18.8872,4.3459,0.0737,60.42,63.17,0.7418,48.94
RF,Cluster,2.0,,3.7509,26.6109,5.1586,0.1776,76.63,80.98,0.7174,65.32
RF,Cluster,2.0,1.0,7.5683,130.926,11.4423,-0.0552,90.33,67.7,0.7204,64.1
RF,Cluster,2.0,2.0,3.7291,21.8717,4.6767,-0.0698,80.43,67.13,0.6498,59.12
RF,Cluster,3.0,,1.0969,3.0109,1.7352,-0.0089,54.26,168.53,0.7786,135.07
RF,Cluster,3.0,257.0,0.906,1.4121,1.1883,-0.0642,71.06,183.46,0.8086,181.21
RF,Cluster,3.0,314.0,0.479,0.2427,0.4926,0.0,inf,200.0,inf,inf
RF,Producto,0.0,413.0,1.7011,4.6228,2.1501,0.0449,35.58,104.99,0.7527,81.9
RF,Producto,0.0,294.0,2.554,10.28,3.2062,-0.2888,60.0,139.03,0.7387,138.34
RF,Producto,1.0,144.0,4.3231,28.8841,5.3744,-0.1244,85.7,88.82,0.8033,76.46
RF,Producto,1.0,41.0,3.6991,22.9295,4.7885,-0.1245,60.76,68.18,0.8174,55.92
RF,Producto,2.0,1.0,8.0914,130.1988,11.4105,-0.0493,114.21,71.55,0.7184,68.53
RF,Producto,2.0,2.0,3.9314,22.9915,4.7949,-0.1246,85.25,68.45,0.6662,62.33
RF,Producto,3.0,257.0,0.831,1.4912,1.2211,-0.1238,65.92,182.64,0.8309,166.2
RF,Producto,3.0,314.0,0.4861,0.2469,0.4969,0.0,inf,200.0,inf,inf
