Algoritmo,MAE,MSE,RMSE,R2,MAPE (%),SMAPE (%),RMSSE,MAE (%)
SeasonalNaive_Total,419.8387,439433.8387,662.8981,-0.0946,40.95,44.82,0.6766,34.29
SeasonalNaive_Cluster_0,253.7577,78169.2446,279.5876,-0.2115,51.75,74.19,0.712,52.06
SeasonalNaive_Cluster_1,143.2624,30594.1628,174.9119,0.0271,47.7,56.7,0.6205,42.26
SeasonalNaive_Cluster_2,192.9591,47071.166,216.9589,-25.6571,408.66,108.59,3.5202,250.39
SeasonalNaive_Cluster_3,129.6058,27815.0078,166.7783,0.0182,41.76,52.87,0.6603,40.4
SeasonalNaive_Prod_0_294,6.6452,53.5484,7.3177,-6.4884,171.96,164.23,1.8468,429.17
SeasonalNaive_Prod_0_413,1.7097,5.2581,2.293,-0.1325,23.93,112.17,0.7959,98.15
SeasonalNaive_Prod_1_41,3.4516,22.1613,4.7076,0.0374,47.37,74.26,0.6342,62.21
SeasonalNaive_Prod_1_144,4.4516,32.6452,5.7136,-0.2619,91.42,105.28,0.7577,93.88
SeasonalNaive_Prod_2_1,7.0968,118.3226,10.8776,0.0374,80.79,91.31,0.7073,71.66
SeasonalNaive_Prod_2_2,4.6129,31.0,5.5678,-0.376,86.84,91.52,0.7922,87.2
SeasonalNaive_Prod_3_257,0.4194,1.3226,1.15,-0.1534,100.0,200.0,0.8572,100.0
SeasonalNaive_Prod_3_314,0.0,0.0,0.0,1.0,inf,0.0,inf,inf
