Algoritmo,NDetalle,Cluster,Producto,MAE,MSE,RMSE,R2,MAPE (%),SMAPE (%),RMSSE,MAE (%)
TRSFMER,Global,,,1.3918,6.9635,2.6388,0.0913,68.29,156.2,0.8087,85.24
TRSFMER,Global,2.0,,3.6606,29.9579,5.4734,0.0742,62.4,85.03,0.7611,63.74
TRSFMER,Global,1.0,,2.7808,16.4881,4.0606,-0.0967,51.17,108.17,0.8116,72.93
TRSFMER,Global,0.0,,1.7076,7.9564,2.8207,-0.0809,59.78,146.17,0.8109,88.43
TRSFMER,Global,3.0,,0.8004,3.4043,1.8451,-0.1407,89.2,188.46,0.828,98.56
TRSFMER,Global,0.0,413.0,1.5167,4.6172,2.1488,0.0461,30.73,103.77,0.7522,73.03
TRSFMER,Global,0.0,294.0,1.8135,7.6129,2.7591,0.0456,35.51,131.81,0.6357,98.23
TRSFMER,Global,1.0,144.0,3.5953,23.9045,4.8892,0.0694,69.24,85.01,0.7308,63.59
TRSFMER,Global,1.0,41.0,3.2593,21.7134,4.6598,-0.0649,56.19,65.24,0.7954,49.27
TRSFMER,Global,2.0,1.0,7.5622,157.6671,12.5566,-0.2707,58.61,76.75,0.7905,64.04
TRSFMER,Global,2.0,2.0,3.2828,18.7746,4.333,0.0816,61.23,65.13,0.602,52.04
TRSFMER,Global,3.0,257.0,0.5,1.5769,1.2558,-0.1884,100.0,200.0,0.8544,100.0
TRSFMER,Global,3.0,314.0,0.0,0.0,0.0,1.0,inf,0.0,inf,inf
TRSFMER,Cluster,0.0,,1.7274,7.3237,2.7062,0.005,46.26,128.62,0.7779,89.46
TRSFMER,Cluster,0.0,413.0,1.5065,4.6237,2.1503,0.0447,29.49,99.02,0.7527,72.54
TRSFMER,Cluster,0.0,294.0,1.8466,7.701,2.7751,0.0345,31.64,129.52,0.6393,100.02
TRSFMER,Cluster,1.0,,3.0793,19.0348,4.3629,-0.2661,57.03,121.82,0.872,80.75
TRSFMER,Cluster,1.0,144.0,4.3601,36.2129,6.0177,-0.4097,54.62,103.99,0.8995,77.12
TRSFMER,Cluster,1.0,41.0,4.4813,33.7724,5.8114,-0.6563,57.31,87.19,0.992,67.74
TRSFMER,Cluster,2.0,,5.4142,59.0925,7.6872,-0.8261,89.48,170.22,1.069,94.28
TRSFMER,Cluster,2.0,1.0,11.1422,246.9944,15.7161,-0.9906,87.85,161.28,0.9895,94.36
TRSFMER,Cluster,2.0,2.0,6.0422,55.9955,7.483,-1.739,92.59,176.37,1.0397,95.79
TRSFMER,Cluster,3.0,,0.9717,2.842,1.6858,0.0477,68.35,174.49,0.7565,119.66
TRSFMER,Cluster,3.0,257.0,0.5983,1.4427,1.2011,-0.0873,92.97,194.97,0.8173,119.66
TRSFMER,Cluster,3.0,314.0,0.7059,0.4982,0.7059,0.0,inf,200.0,inf,inf
