Algoritmo,NDetalle,Cluster,Producto,MAE,MSE,RMSE,R2,MAPE (%),SMAPE (%),RMSSE,MAE (%)
TRSFMER,Global,,,1.3964,7.1729,2.6782,0.064,71.4,167.41,0.8208,85.52
TRSFMER,Global,2.0,,3.6195,30.4575,5.5188,0.0588,57.85,86.92,0.7675,63.03
TRSFMER,Global,1.0,,2.8078,16.9268,4.1142,-0.1259,50.85,111.15,0.8223,73.64
TRSFMER,Global,0.0,,1.7149,8.2892,2.8791,-0.1261,65.46,157.0,0.8276,88.82
TRSFMER,Global,3.0,,0.7997,3.4734,1.8637,-0.1639,92.03,193.96,0.8363,98.47
TRSFMER,Global,0.0,413.0,1.4697,4.5283,2.128,0.0645,24.96,90.93,0.7449,70.76
TRSFMER,Global,0.0,294.0,1.8577,11.0274,3.3207,-0.3825,89.7,187.76,0.7651,100.62
TRSFMER,Global,1.0,144.0,4.0362,28.7177,5.3589,-0.1179,67.6,97.03,0.801,71.39
TRSFMER,Global,1.0,41.0,3.3547,21.9689,4.6871,-0.0774,55.12,67.51,0.8001,50.71
TRSFMER,Global,2.0,1.0,7.6274,159.8385,12.6427,-0.2882,58.02,76.39,0.796,64.6
TRSFMER,Global,2.0,2.0,3.3206,19.8335,4.4535,0.0299,56.74,67.36,0.6188,52.64
TRSFMER,Global,3.0,257.0,0.5,1.5769,1.2558,-0.1884,100.0,200.0,0.8544,100.0
TRSFMER,Global,3.0,314.0,0.0002,0.0,0.0006,0.0,inf,200.0,inf,inf
TRSFMER,Cluster,0.0,,1.7243,7.6266,2.7616,-0.0361,50.67,139.98,0.7939,89.3
TRSFMER,Cluster,0.0,413.0,1.4652,4.5319,2.1288,0.0637,24.11,90.27,0.7452,70.55
TRSFMER,Cluster,0.0,294.0,1.9209,8.2987,2.8807,-0.0404,32.9,127.06,0.6637,104.05
TRSFMER,Cluster,1.0,,2.8484,16.3924,4.0488,-0.0903,49.61,107.33,0.8092,74.7
TRSFMER,Cluster,1.0,144.0,3.7973,25.4214,5.042,0.0104,66.56,81.61,0.7536,67.16
TRSFMER,Cluster,1.0,41.0,3.4069,22.4921,4.7426,-0.1031,56.64,59.05,0.8095,51.5
TRSFMER,Cluster,2.0,,3.9064,30.7904,5.5489,0.0485,60.77,85.8,0.7716,68.02
TRSFMER,Cluster,2.0,1.0,7.5198,151.7383,12.3182,-0.2229,69.81,68.95,0.7755,63.69
TRSFMER,Cluster,2.0,2.0,3.6154,20.8643,4.5677,-0.0206,63.77,68.29,0.6347,57.32
TRSFMER,Cluster,3.0,,0.8087,3.5667,1.8886,-0.1951,95.69,194.07,0.8475,99.58
TRSFMER,Cluster,3.0,257.0,0.5008,1.5756,1.2552,-0.1874,99.94,199.96,0.8541,100.16
TRSFMER,Cluster,3.0,314.0,0.0785,0.0062,0.0785,0.0,inf,200.0,inf,inf
