Algoritmo,NDetalle,Cluster,Producto,MAE,MSE,RMSE,R2,MAPE (%),SMAPE (%),RMSSE,MAE (%)
XGBoost,Global,,,1.5692,5.7295,2.3936,0.2523,49.56,144.53,0.7336,96.1
XGBoost,Global,2.0,,3.7061,26.2693,5.1254,0.1882,74.73,81.18,0.7127,64.54
XGBoost,Global,1.0,,2.7821,13.0199,3.6083,0.134,55.66,98.93,0.7212,72.96
XGBoost,Global,0.0,,1.8,6.6749,2.5836,0.0932,39.83,125.83,0.7427,93.22
XGBoost,Global,3.0,,1.0762,2.7869,1.6694,0.0662,55.1,168.89,0.7491,132.51
XGBoost,Global,0.0,413.0,1.765,4.9324,2.2209,-0.019,34.31,102.74,0.7775,84.98
XGBoost,Global,0.0,294.0,2.2119,8.3373,2.8874,-0.0453,41.86,131.28,0.6652,119.81
XGBoost,Global,1.0,144.0,3.7826,25.5181,5.0515,0.0066,76.42,83.96,0.7551,66.9
XGBoost,Global,1.0,41.0,3.1676,18.082,4.2523,0.1132,61.54,62.3,0.7259,47.88
XGBoost,Global,2.0,1.0,7.6308,127.5037,11.2918,-0.0276,90.86,66.83,0.7109,64.63
XGBoost,Global,2.0,2.0,3.6747,22.1978,4.7115,-0.0858,77.09,65.25,0.6546,58.26
XGBoost,Global,3.0,257.0,0.796,1.3554,1.1642,-0.0214,80.68,188.36,0.7921,159.19
XGBoost,Global,3.0,314.0,0.1564,0.0315,0.1776,0.0,inf,200.0,inf,inf
XGBoost,Cluster,0.0,,1.8058,6.7067,2.5897,0.0889,40.03,125.96,0.7445,93.52
XGBoost,Cluster,0.0,413.0,1.7524,4.882,2.2095,-0.0086,36.72,104.13,0.7735,84.37
XGBoost,Cluster,0.0,294.0,2.2897,9.0533,3.0089,-0.135,45.66,133.39,0.6932,124.02
XGBoost,Cluster,1.0,,2.8389,13.3823,3.6582,0.1099,57.28,99.58,0.7311,74.45
XGBoost,Cluster,1.0,144.0,4.0111,25.9632,5.0954,-0.0107,87.26,85.81,0.7616,70.94
XGBoost,Cluster,1.0,41.0,3.2783,19.8829,4.459,0.0249,65.37,65.3,0.7611,49.56
XGBoost,Cluster,2.0,,3.7441,26.5232,5.1501,0.1804,76.87,81.84,0.7162,65.2
XGBoost,Cluster,2.0,1.0,7.6055,126.2906,11.2379,-0.0178,92.72,66.68,0.7075,64.41
XGBoost,Cluster,2.0,2.0,3.7506,22.3143,4.7238,-0.0915,83.59,66.86,0.6563,59.46
XGBoost,Cluster,3.0,,1.0763,2.8337,1.6834,0.0505,56.1,169.32,0.7554,132.54
XGBoost,Cluster,3.0,257.0,0.8763,1.7651,1.3286,-0.3302,72.21,185.24,0.904,175.25
XGBoost,Cluster,3.0,314.0,0.2005,0.0583,0.2415,0.0,inf,200.0,inf,inf
XGBoost,Producto,0.0,413.0,1.9412,6.0811,2.466,-0.2564,44.92,113.38,0.8633,93.47
XGBoost,Producto,0.0,294.0,2.8559,13.2462,3.6395,-0.6607,78.14,146.39,0.8385,154.69
XGBoost,Producto,1.0,144.0,4.3002,28.3991,5.3291,-0.1055,80.52,88.94,0.7965,76.06
XGBoost,Producto,1.0,41.0,3.9936,26.2372,5.1222,-0.2867,69.62,75.81,0.8744,60.37
XGBoost,Producto,2.0,1.0,8.4422,142.4589,11.9356,-0.1481,118.27,74.02,0.7515,71.5
XGBoost,Producto,2.0,2.0,4.2053,26.667,5.164,-0.3044,80.03,72.29,0.7175,66.67
XGBoost,Producto,3.0,257.0,1.0387,1.925,1.3875,-0.4507,63.37,182.55,0.944,207.73
XGBoost,Producto,3.0,314.0,0.1355,0.0227,0.1507,0.0,inf,200.0,inf,inf
