epoch,step,train_loss_epoch,train_loss_step
0,27,3.7605862617492676,
1,49,,0.9351128935813904
1,55,1.8715170621871948,
2,83,1.7104264497756958,
3,99,,1.0670113563537598
3,111,1.7026045322418213,
4,139,1.6030193567276,
5,149,,0.9336404204368591
5,167,0.7154645919799805,
6,195,1.4530233144760132,
7,199,,1.9047948122024536
7,223,1.896564245223999,
8,249,,0.5869207382202148
8,251,2.1438424587249756,
9,279,2.6886849403381348,
10,299,,0.5291251540184021
10,307,3.063833236694336,
11,335,1.0164715051651,
12,349,,0.4494915008544922
12,363,1.3621578216552734,
13,391,3.3411498069763184,
14,399,,0.6367945075035095
14,419,1.5175625085830688,
15,447,1.7759000062942505,
16,449,,0.4216793477535248
16,475,0.9424299597740173,
17,499,,0.4781976342201233
17,499,1.2123695611953735,
